GROUPNAME,COMMAND,ToBeTested,PLANT3D,PandID,NA,SHORT,UNDERSCORE,Plant3D,PandID
PLANT3D,lcOffPageConnect_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcPidEditBlock_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcPIDTag,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcNewProject,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcNewProject_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcDataManager_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcDWFOutputSettings_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcExportToAutoCAD,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcExportToAutoCAD_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcField_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcNEWPROJECTDWG,YES,YES,YES,NO,YES,YES,NO,NO
PLANT3D,lcNewProjectDWG_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcProjectManager_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcPIDAnnotate,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcPIDConvert,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcPIDTag_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcValidateConfig_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcValidate_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcSLine,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcSLGroup,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcSLGroupEdit,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcSLedit,YES,NO,YES,NO,YES,YES,NO,NO
PLANT3D,lcSLGROUPSELECT,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcOpenProject_DB,YES,NO,YES,NO,NO,YES,NO,NO
PLANT3D,lcPLANTPCFTOPIPE_DB,YES,YES,NO,NO,NO,YES,YES,NO
PLANT3D,lcPLANTISOADDREFDIM,YES,YES,NO,NO,YES,YES,YES,NO
