DIALOG NAME,DIALOG PARENT NAME,Plant3D,PandID
ModifySharedContentFolderDLG,ModifySharedContentFolderDLG,NO,NO
ModifySharedContentFolderTaskDLG,ModifySharedContentFolderDLG,NO,NO
NetworkPathNotFoundDLG,PROJECTMANAGERDLG,NO,NO
NetworkPathNotFoundP3DDLG,PROJECTMANAGERDLG,NO,NO
NewAutomationSchemeDLG,ProjectSetupDMConfigurationDLG,NO,NO
NewCustomToolbarDLG,CustomizationDLG,NO,NO
NewDrawingAutogenerationProDLG,SelectDrawingAutogenerationPropertyDLG,NO,NO
NewDWGDLG, NewDWGDLG,NO,NO
NewEndConnectionDLG,ProjectSetupProjectDetailsDLG,NO,NO
NewExportandImportSettingsDLG,NewExportandImportSettingsDLG,NO,NO
NewProjectAutogenerationPropertyDLG,SelectDrawingAutogenerationPropertyDLG,NO,NO
NewReportConfigurationDLG,ReportCreatorDLG,NO,NO
NewReportCopyOfControlValveListDLG,ProjectSetupProjectDetailsDLG,NO,NO
NewStatusDLG,ProjectStatusManagerDLG,NO,NO
NoAvailableProjectPartsErrorDLG,PMUConvertProjectToSQLExpressDLG,NO,NO
NoBlockSpecifiedMSG,NewEndConnectionDLG,NO,NO
NoExcelMSGDLG,SelectExcelFilesValidatingDLG,NO,NO
NoNameSpecifiedMSG,NewEndConnectionDLG,NO,NO
NoneBlockInsideThisDWGDLG,AutoCADPlant3DCatalogBuilderApplicationDLG,NO,NO
OpenPnPProjectMaintenanceDLG,ProjectMaintenanceUtilityDLG,NO,NO
OpenPreviewDocumentDLG,PreviewDLG,NO,NO
OpenReportCreatorProjectDLG,ReportConfigurationDLG,NO,NO
OptimizeProjectDatabaseTaskDLG,AppWnd,NO,NO
OrthoCreationinProcessDLG,AppWnd,NO,NO
OrthoDWGSettingsTableSetupDLG,AppWnd,NO,NO
OrthoDWGTableSetupDLG,AppWnd,NO,NO
OrthoGenerationSettingsDLG,SelectExcelFilesValidatingDLG,NO,NO
P3DAddPropertyDLG,ProjectSetupDMConfigurationDLG,NO,NO
P3DAddRowDLG,P3DSelectionListPropertyDLG,NO,NO
P3DAnnotationDefineExpressionDLG,P3DAssignAnnotationFormatDLG,NO,NO
P3DAnnotationNewDrawingAutogenerationProDLG,P3DAnnotationSelectDrawingAutogenerationDLG,NO,NO
P3DAnnotationNewProjectAutogenerationProDLG,P3DAnnotationDefineExpressionDLG,NO,NO
P3DAnnotationSelectClassPropertyDLG,P3DAssignAnnotationFormatDLG,NO,NO
P3DAnnotationSelectDrawingAutogenerationDLG,P3DAnnotationDefineExpressionDLG,NO,NO
P3DAnnotationSelectDrawingPropertyDLG,P3DAssignAnnotationFormatDLG,NO,NO
P3DAnnotationSelectProjectAutogenerationDLG,P3DAnnotationSelectProjectAutogenerationDLG,NO,NO
P3DAnnotationSelectProjectPropertyDLG,P3DAssignAnnotationFormatDLG,NO,NO
P3DAssignAnnotationFormatDLG,P3DAssignAnnotationFormatDLG,NO,NO
P3DConvertToEquipmentDLG,P3DConvertToEquipmentDLG,NO,NO
P3DCreateEquipmentDLG,P3DCreateEquipmentDLG,NO,NO
P3DFieldDLG,P3DFieldDLG,NO,NO
P3DIsogenSelectLinesDLG,P3DIsogenSelectLinesDLG,OUT,NO
P3DLineGroupDLG,P3DLineGroupDLG,NO,NO
P3DMapPropertyValuesDLG,Plant3DNewExportImportSettingDLG,NO,NO
P3DModifyEquipmentDLG,P3DModifyEquipmentDLG,NO,NO
P3DModifyExportAndImportSettingDLG,ProjectSetupPIDLineDLG,NO,NO
P3DPipandEquipmentDLG,P3DPipandEquipmentDLG,NO,NO
P3DProjectSetupLayerColorDLG,P3DProjectSetupLayerColorDLG,NO,NO
P3DSelectClassPropertyDLG,AddJointDLG,NO,NO
P3DSelectDataSourceDLG,P3DAddPropertyDLG,NO,NO
P3DSelectionListPropertyDLG,ProjectSetupDMConfigurationDLG,NO,NO
P3DSteelDLG,P3DSteelDLG,NO,NO
P3DTagDefineExpressionDLG,P3DTagFormatSetupDLG,NO,NO
P3DTagFormatSetupDLG,ProjectSetupDMConfigurationDLG,NO,NO
P3DTagNewDrawingAutogenerationProDLG,P3DTagSelectDrawingAutogenerationDLG,NO,NO
